Position,Value
1.000000000000000000e+00,1.399999999999999911e+00
2.000000000000000000e+00,1.381159420289855166e+00
3.000000000000000000e+00,1.362450592885375622e+00
4.000000000000000000e+00,1.343873517786561056e+00
5.000000000000000000e+00,1.325428194993412578e+00
6.000000000000000000e+00,1.307114624505928857e+00
7.000000000000000000e+00,1.288932806324110336e+00
8.000000000000000000e+00,1.270882740447957682e+00
9.000000000000000000e+00,1.252964426877470450e+00
1.000000000000000000e+01,1.235177865612647974e+00
1.100000000000000000e+01,1.217523056653491587e+00
1.200000000000000000e+01,1.199999999999999956e+00
1.300000000000000000e+01,1.182608695652173969e+00
1.400000000000000000e+01,1.165349143610013183e+00
1.500000000000000000e+01,1.148221343873517819e+00
1.600000000000000000e+01,1.131225296442687878e+00
1.700000000000000000e+01,1.114361001317523137e+00
1.800000000000000000e+01,1.097628458498023374e+00
1.900000000000000000e+01,1.081027667984189700e+00
2.000000000000000000e+01,1.064558629776021226e+00
2.100000000000000000e+01,1.048221343873517730e+00
2.200000000000000000e+01,1.032015810276679879e+00
2.300000000000000000e+01,1.015942028985507228e+00
2.400000000000000000e+01,1.000000000000000000e+00
